#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 13:36:39.308
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-7.544302681462058,-0.5069097280238285,-6.338086344189899,29.4921514454054,-7.544302681462058
11.22018454301963,-6.6750368899463055,-1.4035421150530014,-7.218568027189979,26.882682745833918,-6.6750368899463055
12.589254117941675,-5.830672562004389,-2.472670004547593,-8.27131156554932,23.987504353487246,-5.830672562004389
14.12537544622754,-5.020765840778985,-3.7892177964847544,-9.57346254875587,20.838742465778125,-5.020765840778985
15.848931924611142,-4.259313715233018,-5.480641715590988,-11.254197680571284,17.416780189042967,-4.259313715233018
17.78279410038923,-3.5735862493934123,-7.746204584969297,-13.513039966904103,13.738747688593207,-3.5735862493934123
19.952623149688787,-3.0159457076049905,-10.814106801508538,-16.57817320520404,9.945925914830937,-3.0159457076049905
22.3872113856834,-2.641327929699535,-14.612514431373922,-20.37630510392512,6.508008352874413,-2.641327929699535
25.118864315095795,-2.438922174313129,-18.593027657801457,-24.355394908838495,3.9821349108198376,-2.438922174313129
28.18382931264455,-2.3355799767054193,-22.376221995872434,-28.14065998991755,2.3484748785114675,-2.3355799767054193
31.622776601683793,-2.2791806005583624,-26.053018139980985,-31.826132948836214,1.3344744096062584,-2.2791806005583624
35.481338923357534,-2.2458719756053354,-29.52848915461078,-35.307946364317026,0.745200709808401,-2.2458719756053354
39.810717055349734,-2.2220922007944504,-32.61489059833572,-38.41767899049705,0.4372515648934012,-2.2220922007944504
44.6683592150963,-2.202974961079222,-35.35678300715801,-41.164821700319585,0.28050430771023116,-2.202974961079222
50.11872336272725,-2.1872129912745506,-37.85478125835272,-43.727969691528365,0.21901509193038748,-2.1872129912745506
56.23413251903491,-2.173275837486919,-40.261676475642034,-46.22273704831013,0.18203587802125298,-2.173275837486919
63.0957344480193,-2.161323475481555,-42.38742822789887,-48.50258174436636,0.17084987931255569,-2.161323475481555
70.79457843841381,-2.1494037397079797,-44.52702017125649,-50.8174190603562,0.1698562079946413,-2.1494037397079797
79.43282347242813,-2.139245013183589,-46.419841042701265,-53.086474905531944,0.17201759453892862,-2.139245013183589
