#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 13:37:46.999
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-22.625777847139293,9.186053222754891,2.5016942246814615,60.42149471588848,-22.625777847139293
11.22018454301963,-21.637143360580666,8.871668361858694,2.237112433552451,59.99603283122896,-21.637143360580666
12.589254117941675,-20.651863416434924,8.518078357611433,1.9550605972740418,59.365019420400216,-20.651863416434924
14.12537544622754,-19.66781199924117,8.21121580750421,1.661933170168948,58.53000986188704,-19.66781199924117
15.848931924611142,-18.685389711709966,7.862147788541663,1.349221218084731,57.499715610380086,-18.685389711709966
17.78279410038923,-17.705065945419665,7.483835951376473,1.0188243398242371,56.26872526719374,-17.705065945419665
19.952623149688787,-16.727441622564218,7.1275721404110435,0.6742419464536862,54.8456576137782,-16.727441622564218
22.3872113856834,-15.751633403452793,6.739192529867408,0.31028943662315467,53.22650011753909,-15.751633403452793
25.118864315095795,-14.780202228743029,6.297793794802315,-0.07620113694223585,51.41140500227007,-14.780202228743029
28.18382931264455,-13.812053942887141,5.865358675998764,-0.48328626488684445,49.40399546891793,-13.812053942887141
31.622776601683793,-12.847523706736277,5.430178302089046,-0.916035743313795,47.2085575407461,-12.847523706736277
35.481338923357534,-11.888719275065489,4.944384341980215,-1.3824971770833294,44.81699171371102,-11.888719275065489
39.810717055349734,-10.935211099489237,4.407611905206089,-1.8892524259174868,42.237776507009045,-10.935211099489237
44.6683592150963,-9.98887338822964,3.834982243348819,-2.4422029559570873,39.47040683956188,-9.98887338822964
50.11872336272725,-9.05100447529959,3.225010944159205,-3.049588931306076,36.51816890059078,-9.05100447529959
56.23413251903491,-8.12338267876205,2.526891546622493,-3.7272198007970117,33.38641263006503,-8.12338267876205
63.0957344480193,-7.208377634422883,1.7546701020866964,-4.491543005484233,30.07981157007702,-7.208377634422883
70.79457843841381,-6.309887160958899,0.8645736299401102,-5.374385718353533,26.594596159186672,-6.309887160958899
79.43282347242813,-5.432097009336364,-0.19915205330298183,-6.430003271869639,22.93031672571854,-5.432097009336364
89.12509381337459,-4.582708460992378,-1.517533705821959,-7.748092473894977,19.076481712969183,-4.582708460992378
100,-3.7742119918047026,-3.2731982343501205,-9.503979474270123,15.007997476561115,-3.7742119918047026
112.2018454301963,-3.0284847601094205,-5.922066322788534,-12.138925110125632,10.668614042660366,-3.0284847601094205
125.89254117941675,-2.3978867929331567,-11.296242280640483,-17.424044441729993,5.941568819190394,-2.3978867929331567
141.2537544622754,-2.123469310928663,-24.24280175983503,-30.009212221386036,1.9811084467652478,-2.123469310928663
158.48931924611142,-2.096212910421725,-31.263682857503046,-37.02969321166882,0.8879164881956285,-2.096212910421725
177.82794100389228,-2.0862342967308973,-35.94393911638956,-41.71768850651347,0.4166464171214841,-2.0862342967308973
199.5262314968879,-2.0793782097095552,-39.565977893377806,-45.32435455022181,0.1555940611559663,-2.0793782097095552
223.87211385683398,-2.0739083131882334,-42.06567470258722,-47.84639100559665,0.0014896188655981746,-2.0739083131882334
251.18864315095794,-2.0686374060859767,-44.94340779993144,-50.70735579483602,-0.10702343664712544,-2.0686374060859767
281.8382931264455,-2.0632599372339793,-45.698976396747966,-51.488570687994084,-0.16669314315331007,-2.0632599372339793
316.22776601683796,-2.059611098897195,-49.23170102987476,-55.033783059180045,-0.24907007076981813,-2.059611098897195
354.8133892335753,-2.0557326581924,-50.44024091169185,-56.26665167838085,-0.30662328679272477,-2.0557326581924
398.1071705534973,-2.0525953396978025,-52.577096350993855,-58.43545270178683,-0.3719441519747022,-2.0525953396978025
446.683592150963,-2.049835624646838,-54.07108759517307,-59.9881342874237,-0.4374384983336057,-2.049835624646838
501.18723362727246,-2.0471049792643132,-53.978007810861726,-59.91348315634554,-0.49930759006054615,-2.0471049792643132
562.3413251903492,-2.0449528254880436,-56.40584928202611,-62.43082745748987,-0.583215142481663,-2.0449528254880436
630.957344480193,-2.042508552957327,-56.82185239407086,-62.949393340978055,-0.6663974762312677,-2.042508552957327
707.945784384138,-2.040647462667575,-57.74201806157002,-63.95090204878735,-0.7667929953922439,-2.040647462667575
794.3282347242814,-2.0389030457542168,-58.715367837125925,-65.2261515767854,-0.8773018335329894,-2.0389030457542168
891.2509381337459,-2.0371073060722917,-59.26279360606151,-65.8390200482137,-1.0014421896925114,-2.0371073060722917
1000,-2.0354967112279234,-60.41214935961305,-67.2322798788622,-1.1437843267376735,-2.0354967112279234
1122.018454301963,-2.033254826431298,-61.45957213883709,-68.73093363447634,-1.301946851288271,-2.033254826431298
1258.9254117941675,-2.0324824750638912,-61.53149754521556,-68.95605254360905,-1.4773449246562222,-2.0324824750638912
1412.537544622754,-2.031592682550782,-61.27387428573509,-69.40942133491306,-1.6732174908320587,-2.031592682550782
1584.893192461114,-2.0306390429436347,-61.49661085186416,-69.08834237944671,-1.8950734263956406,-2.0306390429436347
1778.2794100389228,-2.029938603560912,-61.73137036433815,-69.43282283585162,-2.143147603774082,-2.029938603560912
1995.2623149688789,-2.029423169656592,-61.760864555229624,-69.7022544395864,-2.418163684442362,-2.029423169656592
2238.72113856834,-2.029451989308925,-61.84231463829414,-69.9256361077325,-2.729112770088342,-2.029451989308925
2511.8864315095793,-2.029362426093527,-61.63896662691833,-69.64778069385531,-3.0730065393610033,-2.029362426093527
2818.382931264455,-2.0303870102773205,-61.72231968449991,-69.99980968118383,-3.4613756174436503,-2.0303870102773205
3162.277660168379,-2.031567320866038,-61.84686003782928,-70.30101746778152,-3.8941251936736196,-2.031567320866038
3548.133892335753,-2.03393594538676,-61.69176680956114,-70.19809890950629,-4.377898245334713,-2.03393594538676
3981.0717055349733,-2.0371812800519313,-61.739847328153886,-70.67881105099026,-4.917146471964633,-2.0371812800519313
4466.83592150963,-2.0411307751222454,-61.869711272826954,-70.36504555212676,-5.519738686705125,-2.0411307751222454
5011.872336272725,-2.047789143314371,-61.619389286340656,-70.36472141456157,-6.192658390051946,-2.047789143314371
5623.413251903491,-2.055419211701803,-61.539680977578655,-70.49278185136374,-6.944646124001338,-2.055419211701803
6309.57344480193,-2.0674371788662325,-61.940225151598796,-70.54485672719461,-7.778720411869244,-2.0674371788662325
7079.45784384138,-2.094259270583314,-60.702877016160095,-69.33804829757224,-8.713977974431224,-2.094259270583314
7943.282347242814,-2.1120897518768675,-61.47768042161667,-70.39833017008107,-9.753725819338642,-2.1120897518768675
8912.509381337459,-2.125589580967144,-60.95976839967346,-69.77065448158145,-10.910987948903767,-2.125589580967144
10000,-2.1566907861811573,-61.37343424461807,-70.6943118799033,-12.200208699987257,-2.1566907861811573
11220.18454301963,-2.1967788207700987,-61.2450004764336,-70.2709898370765,-13.632024618563491,-2.1967788207700987
12589.254117941675,-2.247761751429567,-61.155384129444606,-69.81384190646236,-15.218209163944891,-2.247761751429567
14125.37544622754,-2.316300275384784,-60.59326442031042,-69.53718959157133,-16.973363006835527,-2.316300275384784
15848.931924611143,-2.400365927900101,-60.47158470132162,-69.81505583588022,-18.906311170724678,-2.400365927900101
17782.79410038923,-2.4876677669153633,-60.795246203644865,-70.23264015713528,-21.025238807555773,-2.4876677669153633
19952.62314968879,-2.6087747776728305,-60.30771005846507,-69.18663578095465,-23.34244240580273,-2.6087747776728305
22387.2113856834,-2.7547805613386385,-60.31950890056499,-69.63790699770863,-25.85822207151642,-2.7547805613386385
25118.864315095794,-2.9320732300202557,-60.14645883270053,-70.02252374156215,-28.577374781720096,-2.9320732300202557
28183.82931264455,-3.1463748565579133,-59.93548481624511,-69.32445958978414,-31.48800433614355,-3.1463748565579133
31622.776601683796,-3.4012052614611745,-59.166255212718085,-67.86472323136785,-34.58249660209349,-3.4012052614611745
35481.33892335753,-3.699798946728559,-59.29908738605774,-69.20805666865795,-37.835435204259824,-3.699798946728559
39810.717055349734,-4.053306987626621,-58.065749580573765,-67.42456106690207,-41.222705665136935,-4.053306987626621
44668.3592150963,-4.450506832188717,-58.462420452330974,-67.86314256591459,-44.70650383108767,-4.450506832188717
50118.72336272724,-4.907462372698757,-58.338915743967064,-69.5062435239364,-48.26630143919893,-4.907462372698757
56234.13251903491,-5.42322258157081,-57.53950918531912,-68.57830222282342,-51.855817119799454,-5.42322258157081
63095.734448019306,-5.993399339574157,-57.68366005637035,-71.89090512536951,-55.438598027891885,-5.993399339574157
70794.5784384138,-6.6185638453275715,-56.97593058229947,-70.38069801200868,-58.982400992346996,-6.6185638453275715
79432.82347242814,-7.3091759672872225,-56.14130821915829,-69.87172049733832,-62.44734455953386,-7.3091759672872225
89125.0938133746,-8.03977166681516,-55.0037122988482,-71.04497903193685,-65.83430460308941,-8.03977166681516
100000,-8.796169585191219,-54.40019851729421,-72.73567490050924,-69.11737133375931,-8.796169585191219
