#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 13:38:20.826
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 61.0158 V
#Offset: -0.00262571 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-26.07680814158421,10.427674028969484,3.5041831658690175,63.94070227655869,-26.07680814158421
11.22018454301963,-25.084671387553918,10.13818240181111,3.29206205707786,63.763934063555666,-25.084671387553918
12.589254117941675,-24.108920581553463,9.898438673610329,3.095871398262276,63.60030307866576,-24.108920581553463
14.12537544622754,-23.11445250384603,9.593167995149564,2.8469219644258326,63.03891262915259,-23.11445250384603
15.848931924611142,-22.131951034809255,9.24833075461819,2.5950044681156497,62.41775171144664,-22.131951034809255
17.78279410038923,-21.144909991769907,8.978460348236109,2.319719813914793,61.56047090029185,-21.144909991769907
19.952623149688787,-20.160221412482308,8.639347655342775,2.025450982335096,60.493238098130654,-20.160221412482308
22.3872113856834,-19.17147539191047,8.267952502707276,1.7125005687349404,59.30592429546778,-19.17147539191047
25.118864315095795,-18.19748043757721,7.893780308067577,1.3945124572421144,57.923052049937965,-18.19748043757721
28.18382931264455,-17.212530264826803,7.564462634589491,1.0486970109779148,56.41078766841059,-17.212530264826803
31.622776601683793,-16.237661994835534,7.125096009084325,0.6896093480369783,54.676696562429086,-16.237661994835534
35.481338923357534,-15.265023787472867,6.720569371646072,0.3127433744557836,52.78635268701555,-15.265023787472867
39.810717055349734,-14.2900805064403,6.332742325691495,-0.08759142295850664,50.72734978174533,-14.2900805064403
44.6683592150963,-13.319779129659901,5.845540809650533,-0.5135210607446101,48.466307754194716,-13.319779129659901
50.11872336272725,-12.360095253176574,5.412764820475381,-0.9537963964502781,46.03992343705521,-12.360095253176574
56.23413251903491,-11.40019983626188,4.904670260592704,-1.4428496361535834,43.45069916762834,-11.40019983626188
63.0957344480193,-10.448768703656961,4.3286604428940265,-1.9719942511572905,40.678099771746254,-10.448768703656961
70.79457843841381,-9.504447166714865,3.74333427502922,-2.552606944497591,37.732318509903905,-9.504447166714865
79.43282347242813,-8.568819096234233,3.094754044498431,-3.197012853166525,34.60918943141991,-8.568819096234233
