#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 14:54:58.567
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-4.163123372272073,-7.943063104395163,-13.724031349201022,10.401863342489236,-4.163123372272073
11.22018454301963,-3.6027922330685938,-11.26117040936953,-17.031847677340078,7.02627494610168,-3.6027922330685938
12.589254117941675,-3.2431605595603563,-15.210316137852946,-20.980934533738097,4.126813580314177,-3.2431605595603563
14.12537544622754,-3.0542761521862403,-18.944680956491244,-24.721220009685247,2.2803723416759336,-3.0542761521862403
15.848931924611142,-2.9501712088015752,-21.991478121688033,-27.766598279905295,1.287956637028742,-2.9501712088015752
17.78279410038923,-2.8801606744670294,-24.41169259779648,-30.21238083844491,0.8435655403384503,-2.8801606744670294
19.952623149688787,-2.8277755858857385,-26.51112735925652,-32.33715521699778,0.6501816073941029,-2.8277755858857385
22.3872113856834,-2.7851005467714307,-28.480651687739606,-34.349256618737975,0.5965636481620464,-2.7851005467714307
25.118864315095795,-2.7480771312168972,-30.57995658579629,-36.4895313653587,0.57381626085877,-2.7480771312168972
28.18382931264455,-2.718626848515483,-32.531829395271664,-38.54076205403081,0.5814268786622705,-2.718626848515483
31.622776601683793,-2.6884865466999672,-34.336435716495096,-40.48903204413649,0.609838992893998,-2.6884865466999672
35.481338923357534,-2.663600004493893,-35.81049594970748,-42.19450859813419,0.6446342171567494,-2.663600004493893
39.810717055349734,-2.638680096196524,-37.58642332687147,-44.37142908556248,0.6790753075437124,-2.638680096196524
44.6683592150963,-2.616916923379379,-39.20891215963801,-46.45293536304672,0.7049219889801179,-2.616916923379379
50.11872336272725,-2.596392555755167,-40.4344744495133,-48.32961050927022,0.724962519968841,-2.596392555755167
56.23413251903491,-2.5778190205880147,-41.589917365133395,-50.3501309287075,0.7323033075526837,-2.5778190205880147
63.0957344480193,-2.561039540692696,-42.167984145022686,-52.22227880712532,0.7245147393077929,-2.561039540692696
70.79457843841381,-2.5460974111940877,-42.65415244140992,-53.6334138183705,0.7394838948850639,-2.5460974111940877
79.43282347242813,-2.533842790567517,-43.10631446585083,-55.563355977330815,0.7228553894461953,-2.533842790567517
89.12509381337459,-2.521014519317456,-43.10874201724943,-57.2825554872591,0.7022105944279531,-2.521014519317456
100,-2.508478612549477,-43.08273116898065,-58.911306573492304,0.6783610686589725,-2.508478612549477
112.2018454301963,-2.498034145629475,-43.2390344536151,-57.679380450784485,0.6501895215081674,-2.498034145629475
125.89254117941675,-2.49080079958509,-43.36557729487731,-58.186610619287904,0.6072316584444195,-2.49080079958509
141.2537544622754,-2.4840172666433986,-43.22601758952274,-58.33222650476843,0.5863141262362603,-2.4840172666433986
158.48931924611142,-2.476099182309364,-43.1016305970566,-58.61356746678144,0.5412036444471084,-2.476099182309364
177.82794100389228,-2.4692444615801543,-42.566022323325,-58.30076791043028,0.5190165896974435,-2.4692444615801543
199.5262314968879,-2.4650158390508135,-42.680391962635284,-58.54048253219013,0.4764913024258135,-2.4650158390508135
223.87211385683398,-2.461514294764752,-42.559760887727265,-58.168817243850405,0.4333610180668046,-2.461514294764752
251.18864315095794,-2.4564136799805687,-42.636107622967224,-58.33550433569377,0.4193667922265263,-2.4564136799805687
281.8382931264455,-2.452939058918328,-42.739834693368685,-59.27329784157779,0.38475795083255093,-2.452939058918328
316.22776601683796,-2.447487361952451,-42.165119051971594,-58.21647111049832,0.34550976607508943,-2.447487361952451
354.8133892335753,-2.44593065947679,-42.08082457500026,-59.600804794700544,0.3234775115807942,-2.44593065947679
398.1071705534973,-2.4411813388982258,-41.58077489169658,-57.458502745766054,0.27573719030320376,-2.4411813388982258
446.683592150963,-2.4384082460319076,-41.4807407215491,-57.98944139752062,0.2399576150747862,-2.4384082460319076
501.18723362727246,-2.4378028053212226,-41.12408675970001,-57.92491614864511,0.22520746601557562,-2.4378028053212226
562.3413251903492,-2.4353397905882908,-40.93751063059207,-58.385325431732085,0.18789037318899204,-2.4353397905882908
630.957344480193,-2.434391889320658,-40.88077391325149,-57.503077670624414,0.17136264503388077,-2.434391889320658
707.945784384138,-2.42894276727105,-40.95568970564769,-59.77558928033637,0.14255590878624957,-2.42894276727105
794.3282347242814,-2.4292492961183667,-40.522293765077336,-57.983198412987285,0.10982331365232767,-2.4292492961183667
891.2509381337459,-2.4225834351545346,-39.99892503742674,-59.6706420544832,0.06722108642851765,-2.4225834351545346
1000,-2.428554639903645,-39.65904450323367,-56.05296627939853,0.02652820233063835,-2.428554639903645
1122.018454301963,-2.4165670446473326,-39.35438515890303,-58.899925261001684,0.023068236049866186,-2.4165670446473326
1258.9254117941675,-2.4234087389250436,-39.31360919967205,-57.292659350112594,-0.03769093455048278,-2.4234087389250436
1412.537544622754,-2.4129091335803103,-39.38701143008589,-58.00550266967104,-0.04658392564027736,-2.4129091335803103
1584.893192461114,-2.418542271310095,-38.610128023125995,-57.12254505231425,-0.0795200432592651,-2.418542271310095
1778.2794100389228,-2.417522447995358,-38.80300486840445,-57.14434634020482,-0.13808215409326863,-2.417522447995358
1995.2623149688789,-2.4147982786166393,-38.21538673238118,-57.71831142424807,-0.15583278947306667,-2.4147982786166393
2238.72113856834,-2.414046199154523,-37.87507565967849,-56.85586052298126,-0.22664792081624796,-2.414046199154523
2511.8864315095793,-2.4116204247534316,-37.747244226119975,-56.76153596500639,-0.2610069141384628,-2.4116204247534316
2818.382931264455,-2.4033517793436228,-37.672247701235314,-57.039180617247496,-0.32661940839281556,-2.4033517793436228
3162.277660168379,-2.4019788969044304,-37.4619691741692,-58.00247673176241,-0.4015849409510821,-2.4019788969044304
