#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 14:57:12.238
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 61.0158 V
#Offset: -0.00262571 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-30.536038417146933,11.508434835111581,3.942759852980963,68.02969545473528,-30.536038417146933
11.22018454301963,-29.548823749597297,11.249935403294476,3.823188648732025,68.375567842701,-29.548823749597297
12.589254117941675,-28.55344058548862,10.970816672472758,3.685962244568168,68.4827745441906,-28.55344058548862
14.12537544622754,-27.556505463313783,10.683817413132633,3.519647890059095,68.35823813086826,-27.556505463313783
15.848931924611142,-26.56384545276014,10.381518491925485,3.3471994379004135,68.08718766922051,-26.56384545276014
17.78279410038923,-25.57552602652413,10.10184553799855,3.1637900796896465,67.66173276889667,-25.57552602652413
19.952623149688787,-24.58965174346809,9.82018499868165,2.958051194951643,67.1549624327184,-24.58965174346809
22.3872113856834,-23.59685671311949,9.492883663129048,2.7322042974254117,66.44723271800518,-23.59685671311949
25.118864315095795,-22.606614343000047,9.14108155647558,2.479860799274984,65.63925354205357,-22.606614343000047
28.18382931264455,-21.623988668392467,8.810153910798865,2.2160229397586657,64.63155376817755,-21.623988668392467
31.622776601683793,-20.63594482542754,8.470119992848533,1.9283639259720842,63.54991224419388,-20.63594482542754
35.481338923357534,-19.655878868747944,8.124671677863185,1.6273004127115274,62.28697556112872,-19.655878868747944
39.810717055349734,-18.677008969577393,7.762289623900429,1.300622033364274,60.892106727542846,-18.677008969577393
44.6683592150963,-17.699801722668848,7.379798524713203,0.9587813946141666,59.34767360090561,-17.699801722668848
50.11872336272725,-16.724096282651576,6.986878918108737,0.5973674940568435,57.619676556238176,-16.724096282651576
56.23413251903491,-15.75367825102452,6.5700534165151865,0.21995322875030424,55.74191195950982,-15.75367825102452
63.0957344480193,-14.787906098043385,6.1468496055081125,-0.17163714051507944,53.70386939608149,-14.787906098043385
70.79457843841381,-13.827019794148326,5.696863066548846,-0.5800719161597456,51.50000708256418,-13.827019794148326
79.43282347242813,-12.870379163337581,5.224239574087707,-1.009708360793401,49.13919560932013,-12.870379163337581
89.12509381337459,-11.920427476508229,4.724399906232011,-1.4654035312208233,46.58318814790395,-11.920427476508229
100,-10.980104597820727,4.191637815263037,-1.9533996565427065,43.856455133002655,-10.980104597820727
112.2018454301963,-10.047297418715516,3.61607932961923,-2.4909151287343136,40.9379935505429,-10.047297418715516
125.89254117941675,-9.12714196979713,2.989371130001486,-3.085239536069864,37.84491074105989,-9.12714196979713
141.2537544622754,-8.218487062617852,2.2997662236227336,-3.752229761804255,34.55820209750459,-8.218487062617852
158.48931924611142,-7.3255352871702435,1.525606817493494,-4.5061374622597965,31.076563180930833,-7.3255352871702435
177.82794100389228,-6.452476687599952,0.638423316174941,-5.369783471775303,27.407385098729037,-6.452476687599952
199.5262314968879,-5.605377319830135,-0.40828469792079164,-6.385133028934291,23.541755279262944,-5.605377319830135
223.87211385683398,-4.792981179653408,-1.698870678007055,-7.646584489074007,19.453178818388594,-4.792981179653408
251.18864315095794,-4.027402386783514,-3.3894480940639617,-9.331713875941597,15.123573953349265,-4.027402386783514
281.8382931264455,-3.3336288569078514,-5.867446433691011,-11.816474045930567,10.476014621372428,-3.3336288569078514
316.22776601683796,-2.7584189020869667,-10.538748990341453,-16.46183814502517,5.4132196624355515,-2.7584189020869667
354.8133892335753,-2.474927106974512,-31.160293948062296,-37.05389433624433,0.6897872422880198,-2.474927106974512
398.1071705534973,-2.466278533748904,-41.07027161563365,-47.1226520621844,0.24855756132814122,-2.466278533748904
446.683592150963,-2.4609673465006217,-45.488342682004614,-52.197888348907014,0.12702359792276496,-2.4609673465006217
501.18723362727246,-2.4543031919642573,-45.34648578883409,-52.09751413528571,0.09737747982095613,-2.4543031919642573
562.3413251903492,-2.4500197689700305,-47.39761138781871,-55.003153482530024,0.04684898642656776,-2.4500197689700305
630.957344480193,-2.4440798661529786,-48.49428769050883,-56.846682005858284,0.02017124434832951,-2.4440798661529786
707.945784384138,-2.4405917288440966,-48.005366181479594,-56.2722738293331,0.009840492849242821,-2.4405917288440966
794.3282347242814,-2.4363824723655143,-49.282141575317155,-59.03942437003856,-0.03275054404035416,-2.4363824723655143
