#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 15:01:03.296
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-29.43428429550952,-17.76703777311934,-26.396085511294785,210.123275023026,-29.43428429550952
11.22018454301963,-28.80304468502573,-18.21996771053184,-27.06471698940293,209.0664539026523,-28.80304468502573
12.589254117941675,-28.23095142778191,-19.145723984634515,-28.304346682412774,207.53787139011322,-28.23095142778191
14.12537544622754,-27.744615239884936,-20.308115660707486,-30.074305942051865,206.06655283232215,-27.744615239884936
15.848931924611142,-27.23506130662754,-20.72539586809851,-30.378569744528736,204.57418123131612,-27.23506130662754
17.78279410038923,-26.760628567437713,-21.20829688015578,-30.89125902807487,203.10111176695364,-26.760628567437713
19.952623149688787,-26.371250754306462,-21.577936139686436,-30.958573939691814,201.61135413454983,-26.371250754306462
22.3872113856834,-25.935334513762687,-22.444410242705395,-33.34498779820522,200.19663642437644,-25.935334513762687
25.118864315095795,-25.61686191265605,-22.826726043753865,-34.71904841827091,198.94190668433635,-25.61686191265605
28.18382931264455,-25.334484333351256,-22.962811696065803,-34.077249079860806,197.7462904370215,-25.334484333351256
31.622776601683793,-25.047884135201993,-23.928536443361384,-36.256659822958696,196.38901012610285,-25.047884135201993
35.481338923357534,-24.80702996967159,-23.814341227120952,-37.12548969814695,195.1166306739262,-24.80702996967159
39.810717055349734,-24.57779202228108,-24.481415286432462,-38.373119134868844,194.02070149531917,-24.57779202228108
44.6683592150963,-24.3962373020012,-24.683534624313708,-38.72297970039549,192.91778099908151,-24.3962373020012
50.11872336272725,-24.21812622973699,-24.76837172140607,-39.87146365619819,191.94744602276253,-24.21812622973699
56.23413251903491,-24.06132397451826,-25.094767366165648,-41.29012388360405,191.02302587801512,-24.06132397451826
63.0957344480193,-23.900387172357448,-25.095510161467,-42.13972522706491,190.34967625117343,-23.900387172357448
70.79457843841381,-23.80897997266362,-25.062791287754944,-42.47142342692385,189.38367442904456,-23.80897997266362
79.43282347242813,-23.707890176373848,-25.030087921568935,-43.95460151774795,188.67751681138276,-23.707890176373848
89.12509381337459,-23.60676347665847,-25.413255060913578,-45.89406022876248,187.85426129609885,-23.60676347665847
100,-23.55197706581891,-25.178703858924703,-45.4145421709496,187.1447359323554,-23.55197706581891
112.2018454301963,-23.487215809339837,-25.287316430846435,-45.67894930861988,186.56426860785638,-23.487215809339837
125.89254117941675,-23.424381894830955,-25.128842649502225,-46.25132805754706,186.05566320147295,-23.424381894830955
141.2537544622754,-23.36845930973384,-24.874176071071098,-45.11919860139336,185.6664822237069,-23.36845930973384
158.48931924611142,-23.316441110674763,-24.956941808155392,-46.88874379512423,185.1855130887873,-23.316441110674763
177.82794100389228,-23.289679430832248,-24.838193936717627,-45.522594527605385,184.6843911883352,-23.289679430832248
