#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 15:02:44.878
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-30.63527933189002,-2.9698252564795338,-8.733677208206496,216.95282920355464,-30.63527933189002
11.22018454301963,-29.751124680110244,-3.7230493922181234,-9.48675286293037,214.63521339682646,-29.751124680110244
12.589254117941675,-28.89385627282902,-4.5925506773847005,-10.355857599402567,212.07923544558918,-28.89385627282902
14.12537544622754,-28.068912251761226,-5.635664488038503,-11.399475402696035,209.35845396963163,-28.068912251761226
15.848931924611142,-27.285635039372433,-6.8547457078213565,-12.618108341216502,206.47123959213187,-27.285635039372433
17.78279410038923,-26.555143583066826,-8.273784961060048,-14.037587202575821,203.51072609133445,-26.555143583066826
19.952623149688787,-25.897419089230453,-9.921698123571607,-15.684784932632269,200.54652399366233,-25.897419089230453
22.3872113856834,-25.324292533494052,-11.770946143522123,-17.534610677972143,197.6885448863822,-25.324292533494052
25.118864315095795,-24.856403844707945,-13.790331948453943,-19.555677195145304,195.02579188126037,-24.856403844707945
28.18382931264455,-24.486355325218526,-15.948431678930673,-21.71392070992621,192.66562800782424,-24.486355325218526
31.622776601683793,-24.202796404571494,-18.16147629110451,-23.926646054049158,190.65961722873112,-24.202796404571494
35.481338923357534,-23.990655316903954,-20.39469974641502,-26.162374048773604,188.99371073997946,-23.990655316903954
39.810717055349734,-23.83348773799029,-22.64741009214209,-28.41965338427488,187.64725823703785,-23.83348773799029
44.6683592150963,-23.717867978472217,-24.7666401070842,-30.54153599146224,186.56305392238514,-23.717867978472217
50.11872336272725,-23.6285172129222,-26.809390148576245,-32.585182088169674,185.70416685063492,-23.6285172129222
56.23413251903491,-23.557563797041553,-28.850081980985824,-34.636661444573946,185.01718384020666,-23.557563797041553
63.0957344480193,-23.503068869529802,-30.729655378813035,-36.533405513470434,184.45613161165608,-23.503068869529802
70.79457843841381,-23.454190268453626,-32.527833963129964,-38.352614272191694,183.99361828673594,-23.454190268453626
79.43282347242813,-23.41477235562475,-34.30107873784613,-40.16910507373095,183.61377157999135,-23.41477235562475
89.12509381337459,-23.379811334076294,-36.033224427910945,-41.94282860046727,183.29396795232577,-23.379811334076294
100,-23.348457206980363,-37.55391283223918,-43.560331048848724,183.02458084981168,-23.348457206980363
112.2018454301963,-23.31883304875488,-39.31976671480325,-45.423425108093205,182.7991148819158,-23.31883304875488
125.89254117941675,-23.292441878131882,-41.04006188046398,-47.26055585396314,182.5884019337247,-23.292441878131882
141.2537544622754,-23.26856741030408,-42.44173860396642,-48.92811458056576,182.4143989938479,-23.26856741030408
158.48931924611142,-23.24512672685855,-43.896136835892946,-50.74954348932387,182.2561086223477,-23.24512672685855
177.82794100389228,-23.223760230856826,-45.0481293631523,-52.32196137941355,182.1174294978049,-23.223760230856826
199.5262314968879,-23.20234088006687,-46.176768220312084,-54.06660017089392,181.98690748036142,-23.20234088006687
223.87211385683398,-23.18330543165317,-47.255083363173156,-56.103334404171655,181.8728296334907,-23.18330543165317
251.18864315095794,-23.16496623814826,-47.644069659232116,-57.089448299166534,181.74855174713673,-23.16496623814826
281.8382931264455,-23.147876221266415,-48.622365084148605,-60.435063518940694,181.6415630177758,-23.147876221266415
316.22776601683796,-23.131156426733533,-48.40152520744637,-59.874139698386244,181.54674718030913,-23.131156426733533
354.8133892335753,-23.116326414882607,-48.61312150324161,-61.60416779679209,181.44880872737764,-23.116326414882607
398.1071705534973,-23.1023744637211,-48.650200535079165,-62.94808400652159,181.35001776934536,-23.1023744637211
446.683592150963,-23.08995396141018,-48.74978173966134,-64.42795039835146,181.2640926892776,-23.08995396141018
501.18723362727246,-23.077194437661053,-48.65026075622537,-65.70663723741487,181.18395431654648,-23.077194437661053
562.3413251903492,-23.067222766233645,-48.06387248238261,-64.19634569492553,181.10045149763442,-23.067222766233645
630.957344480193,-23.056594164531635,-48.085691431289675,-64.03759815136661,181.0231431606367,-23.056594164531635
707.945784384138,-23.049012205705935,-47.69266755401189,-64.91451262024098,180.9420643950066,-23.049012205705935
794.3282347242814,-23.039890846807552,-47.61960801085354,-64.7926985314254,180.8821724131133,-23.039890846807552
891.2509381337459,-23.03278470369913,-47.14640058205073,-64.28829537621735,180.8167055999577,-23.03278470369913
1000,-23.025381084579017,-47.117481809951755,-65.2161522452614,180.75578981309957,-23.025381084579017
1122.018454301963,-23.01834560422998,-47.2160413368599,-67.4956976793024,180.676877220461,-23.01834560422998
1258.9254117941675,-23.01410572872062,-46.73038525497571,-65.53723681542988,180.61947221905405,-23.01410572872062
1412.537544622754,-23.00903473433125,-46.48220766470339,-65.0178582940736,180.56638022857578,-23.00903473433125
1584.893192461114,-23.002310012725683,-46.184999307554364,-64.74387448426597,180.5065838416153,-23.002310012725683
1778.2794100389228,-22.99666355162847,-46.08679686804842,-65.4592382423955,180.46497979176843,-22.99666355162847
1995.2623149688789,-22.992875184868513,-46.00422825741961,-65.42583853062196,180.42358585956836,-22.992875184868513
2238.72113856834,-22.985419175289348,-45.59390100638485,-66.11244119591478,180.3797072809162,-22.985419175289348
2511.8864315095793,-22.98256433781106,-45.24035231241959,-66.78327628250304,180.33639168144464,-22.98256433781106
2818.382931264455,-22.97625323064772,-45.51575655546177,-64.3655980901874,180.30478290139285,-22.97625323064772
3162.277660168379,-22.972180936576024,-45.10439688217184,-64.38001605466941,180.26373800156884,-22.972180936576024
3548.133892335753,-22.966703951564824,-44.95602549202927,-65.34043186677903,180.21297049469285,-22.966703951564824
3981.0717055349733,-22.96204423262838,-45.0380832716328,-64.33501322220746,180.18921004487245,-22.96204423262838
4466.83592150963,-22.955078264275393,-45.05156438619176,-65.62517174745219,180.1534538966567,-22.955078264275393
5011.872336272725,-22.951587927294298,-44.66683275722075,-64.8910506377862,180.11903915491683,-22.951587927294298
5623.413251903491,-22.94717993048208,-44.27949459438572,-64.02117061328653,180.09619708602983,-22.94717993048208
6309.57344480193,-22.94101403177998,-44.19116323981442,-66.4931985926348,180.07932247129628,-22.94101403177998
7079.45784384138,-22.947777097031228,-44.34561762932462,-64.90976513988072,180.03954697404242,-22.947777097031228
7943.282347242814,-22.942566760474197,-44.04558477250652,-62.65354312365575,180.00754272615745,-22.942566760474197
8912.509381337459,-22.9263463153928,-43.86160045204796,-63.15711253487108,179.99080833911006,-22.9263463153928
10000,-22.92309528964024,-43.89240918815236,-64.64706766432963,179.96174756740493,-22.92309528964024
11220.18454301963,-22.91838813309157,-43.740784541047766,-64.53971171809124,179.92159885521966,-22.91838813309157
12589.254117941675,-22.914239691506822,-43.83313956365889,-62.94407414689001,179.9111028887814,-22.914239691506822
14125.37544622754,-22.912492418867963,-43.71888588319862,-63.358896716915325,179.87969733945002,-22.912492418867963
15848.931924611143,-22.91528270178086,-43.3761539010003,-64.31117122251436,179.87164025142363,-22.91528270178086
17782.79410038923,-22.902443856820753,-43.189381181141115,-60.65577038027041,179.83331538852815,-22.902443856820753
19952.62314968879,-22.90149260599046,-43.047531514873086,-61.311493999271335,179.79281196469512,-22.90149260599046
22387.2113856834,-22.893747319114862,-43.224502402261066,-63.79442802045692,179.7551203510866,-22.893747319114862
25118.864315095794,-22.893334437631214,-42.741430883990546,-63.9705572339776,179.75176351832786,-22.893334437631214
28183.82931264455,-22.886886052740635,-42.62730256038081,-58.9004559233545,179.68525126906098,-22.886886052740635
31622.776601683796,-22.88353803652358,-42.65269865269392,-61.51862368459923,179.6450953799331,-22.88353803652358
35481.33892335753,-22.880168870855794,-42.83168386493425,-61.98952445999706,179.60815604013862,-22.880168870855794
39810.717055349734,-22.879695939683288,-42.180768338175156,-61.022634779360246,179.5637266467479,-22.879695939683288
44668.3592150963,-22.869656370730837,-41.953567169800145,-63.14668616852045,179.49660613134432,-22.869656370730837
50118.72336272724,-22.86138574074012,-41.88002734257556,-63.20385417889518,179.45059127028577,-22.86138574074012
56234.13251903491,-22.857054756654662,-41.5246769595602,-60.88512304252072,179.38591771363832,-22.857054756654662
63095.734448019306,-22.85076951041721,-41.598959832753444,-62.66870225973758,179.34807876997783,-22.85076951041721
70794.5784384138,-22.841933810719176,-40.66307081047633,-60.345416733853526,179.2057145674766,-22.841933810719176
79432.82347242814,-22.850124524419986,-41.00955802392295,-60.7608551892872,179.16928544553025,-22.850124524419986
89125.0938133746,-22.83904195886819,-40.72474126335136,-64.30456053845528,179.06824018633787,-22.83904195886819
100000,-22.81649459081814,-40.0315248683478,-64.23309391961487,179.00203711943306,-22.81649459081814
