#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 15:03:18.759
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 61.0158 V
#Offset: -0.00262571 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-33.02272335744633,0.3619229901283167,-5.437429042956952,224.31587626144113,-33.02272335744633
11.22018454301963,-32.07645827774694,-0.23455880629134632,-6.02787792857314,222.38413566580564,-32.07645827774694
12.589254117941675,-31.191441222379677,-0.7925422032286809,-6.585028393159709,220.16099189848487,-31.191441222379677
14.12537544622754,-30.303233370209984,-1.4571913876795473,-7.244917869935738,217.74555753964967,-30.303233370209984
15.848931924611142,-29.41725707595467,-2.2001117184416805,-7.988213996736889,215.02090114250365,-29.41725707595467
17.78279410038923,-28.546042775090136,-3.10059436144315,-8.88204997710542,212.09169921650505,-28.546042775090136
19.952623149688787,-27.70096962200069,-4.115901466335553,-9.899093476173212,209.10281837572114,-27.70096962200069
22.3872113856834,-26.894591633169224,-5.3638399656605396,-11.14606834329853,205.90123496817634,-26.894591633169224
25.118864315095795,-26.13712029284664,-6.947579253232421,-12.72193469421758,202.56610601668535,-26.13712029284664
28.18382931264455,-25.45278067497688,-8.830593020484049,-14.60861510224171,199.27173965782612,-25.45278067497688
31.622776601683793,-24.861541805803775,-11.174509159226389,-16.969115500703275,195.9340686849067,-24.861541805803775
35.481338923357534,-24.414171789115358,-13.843016041669367,-19.643265227633464,192.98892141593808,-24.414171789115358
39.810717055349734,-24.082794751968937,-16.52010109858008,-22.351508762268942,190.52410500823095,-24.082794751968937
44.6683592150963,-23.86575552686621,-19.127385378938616,-25.01293543154905,188.56753903741352,-23.86575552686621
50.11872336272725,-23.70773273457079,-21.60227727027181,-27.55798555626062,187.0531848602493,-23.70773273457079
56.23413251903491,-23.597923055120397,-23.7401567966053,-29.904628277119876,185.8323756696611,-23.597923055120397
63.0957344480193,-23.52850324943017,-25.89107990875396,-32.28009999128021,184.91924984447408,-23.52850324943017
70.79457843841381,-23.468475528935244,-27.903323859141324,-34.740365824189645,184.2178845093383,-23.468475528935244
79.43282347242813,-23.426245900592345,-29.222399493271453,-36.59116215713379,183.65930315473497,-23.426245900592345
89.12509381337459,-23.39426710356692,-31.047095482232944,-39.2098425177724,183.26304363767485,-23.39426710356692
100,-23.361474484114275,-31.83656848298792,-40.63314179451133,182.8563749555953,-23.361474484114275
112.2018454301963,-23.337869478997813,-32.404219658684504,-42.50771202863466,182.6251284239219,-23.337869478997813
125.89254117941675,-23.310992744442892,-32.700207831324654,-43.47390735735252,182.36744358921206,-23.310992744442892
141.2537544622754,-23.286574212353237,-33.34026577148021,-45.177692714933706,182.16698315048467,-23.286574212353237
158.48931924611142,-23.26809680188443,-33.322974061010356,-46.750483974212464,181.99019636580837,-23.26809680188443
177.82794100389228,-23.259102491409074,-33.26695863941126,-46.91550006868187,181.82787969016266,-23.259102491409074
199.5262314968879,-23.237932775024493,-33.23768153893543,-47.49375877989407,181.748584777752,-23.237932775024493
223.87211385683398,-23.223899031395135,-33.42868316843219,-49.14993667905509,181.6034662174568,-23.223899031395135
251.18864315095794,-23.204350352145745,-33.14243769186665,-48.80783348635177,181.50154613078035,-23.204350352145745
281.8382931264455,-23.189131211630418,-32.85347229111952,-49.37967442951053,181.3940844955793,-23.189131211630418
316.22776601683796,-23.175431830553784,-32.629763522294255,-49.66446441918157,181.3336139485432,-23.175431830553784
354.8133892335753,-23.159922635261637,-32.63114528121818,-51.00501152797552,181.22181540671792,-23.159922635261637
