#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 13:42:58.596
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-10.284914760794983,-19.200525438738115,-24.99734603921796,218.14705718100248,-10.284914760794983
11.22018454301963,-9.537311084739134,-19.828594643501827,-25.656095312099026,216.72285367094196,-9.537311084739134
12.589254117941675,-8.851880823567706,-20.577694677961794,-26.398864413770266,215.21298139527204,-8.851880823567706
14.12537544622754,-8.19048174313463,-21.40476494216707,-27.2360386810766,213.55930603934115,-8.19048174313463
15.848931924611142,-7.560958458992056,-22.393219960879797,-28.23351427393304,211.83665571703338,-7.560958458992056
17.78279410038923,-6.97361876957282,-23.254643265397714,-29.102753723290007,210.08732184727265,-6.97361876957282
19.952623149688787,-6.4233079419766534,-24.346913377951758,-30.20135490196519,208.3890247059439,-6.4233079419766534
22.3872113856834,-5.913118448257433,-25.240970625677956,-31.10320114365859,206.68034315436188,-5.913118448257433
25.118864315095795,-5.442453281452735,-26.136577296708133,-32.00580025214853,204.97407255717079,-5.442453281452735
28.18382931264455,-5.022277108886424,-27.073901484818798,-32.972603175794646,203.3436464982617,-5.022277108886424
31.622776601683793,-4.630278727934733,-28.001445719774782,-33.925779829327844,201.73524208783715,-4.630278727934733
35.481338923357534,-4.2751495007163145,-28.916993750053205,-34.85887678966448,200.2011901581297,-4.2751495007163145
39.810717055349734,-3.9555013666475416,-30.067416724252595,-36.0329463444338,198.75194895681176,-3.9555013666475416
44.6683592150963,-3.6660175585251147,-30.968040560110964,-36.98091475204893,197.34181697821293,-3.6660175585251147
50.11872336272725,-3.4085017941369973,-31.910481328939614,-38.002780963484646,196.04223200381097,-3.4085017941369973
56.23413251903491,-3.1783511471800674,-33.10553746475919,-39.26864711071646,194.7940268658565,-3.1783511471800674
63.0957344480193,-2.9789396072213874,-33.832485549784195,-40.08466845965543,193.62546880890773,-2.9789396072213874
70.79457843841381,-2.797820547815901,-34.92406961143477,-41.303338133645184,192.54918847029495,-2.797820547815901
79.43282347242813,-2.6435294220654844,-35.768509051583536,-42.392534689996324,191.5159328088516,-2.6435294220654844
89.12509381337459,-2.50768948774762,-36.61839471151014,-43.42717921775205,190.56902199004205,-2.50768948774762
100,-2.3887763618215727,-37.17353052037708,-44.09298182796988,189.69796972930993,-2.3887763618215727
112.2018454301963,-2.2856602188176747,-38.003654868021876,-45.21436207132332,188.8847333277654,-2.2856602188176747
125.89254117941675,-2.20017359962851,-38.678131331533265,-46.12456597715588,188.1238966495585,-2.20017359962851
141.2537544622754,-2.1206221048172793,-38.894397644424444,-46.54557177106263,187.43100374123532,-2.1206221048172793
158.48931924611142,-2.053186395019069,-39.802494161524116,-47.95145311739382,186.78893071847818,-2.053186395019069
177.82794100389228,-1.9948073893204152,-40.42544273673545,-48.948627525555764,186.20155187906738,-1.9948073893204152
199.5262314968879,-1.9429932350990669,-40.636231178248714,-49.71461443529583,185.67821277733455,-1.9429932350990669
223.87211385683398,-1.898064892047623,-41.26318244985537,-51.03838897815942,185.16188729554446,-1.898064892047623
251.18864315095794,-1.8593743016385984,-41.15898706641167,-51.485860896462306,184.70352463489613,-1.8593743016385984
281.8382931264455,-1.8253708415144034,-41.20859497988139,-52.09094070775663,184.28173066617208,-1.8253708415144034
316.22776601683796,-1.7933323874082239,-41.177214581774415,-52.25641974898669,183.89697304170613,-1.7933323874082239
354.8133892335753,-1.762902472372362,-41.37514035881193,-53.65415717540749,183.53147199881917,-1.762902472372362
398.1071705534973,-1.7359380205579875,-41.70363779464009,-56.45503543219637,183.20863179364454,-1.7359380205579875
446.683592150963,-1.7134559184072713,-41.76309602571547,-55.7011922131731,182.89707878881188,-1.7134559184072713
501.18723362727246,-1.6915802047003443,-41.681933617852216,-56.259289779982154,182.5983169787439,-1.6915802047003443
562.3413251903492,-1.6726566053733052,-41.460750535371524,-57.544369333680024,182.3383596287472,-1.6726566053733052
630.957344480193,-1.654765964108478,-41.3217370243541,-56.8386354261692,182.08524029784465,-1.654765964108478
707.945784384138,-1.6359134251387264,-40.772789033321494,-58.222292374065454,181.85243143748414,-1.6359134251387264
794.3282347242814,-1.6198016562196584,-40.788908810463894,-56.86474467378072,181.64496940897834,-1.6198016562196584
891.2509381337459,-1.6064766115116202,-40.50665651810158,-59.399614213767535,181.42342647343344,-1.6064766115116202
1000,-1.5951444138963677,-40.65775652882721,-63.74888362214348,181.22760125825224,-1.5951444138963677
1122.018454301963,-1.5830052818496723,-39.72472126787241,-58.66998646081746,181.023059223348,-1.5830052818496723
1258.9254117941675,-1.563005046232746,-39.82674908203349,-59.70507008113519,180.81828997960082,-1.563005046232746
1412.537544622754,-1.5573581187300505,-39.80769085373347,-59.44846714311733,180.6367101682658,-1.5573581187300505
1584.893192461114,-1.550036980409122,-39.374752009014145,-60.91131393353598,180.4225286892937,-1.550036980409122
1778.2794100389228,-1.5378759582710804,-39.225907122439516,-62.50297854539737,180.24143955983254,-1.5378759582710804
1995.2623149688789,-1.5259583898996638,-39.20980471224181,-60.21143049194286,180.03800312644648,-1.5259583898996638
2238.72113856834,-1.516911620621282,-39.12724785270197,-62.0701633802322,179.8308994224202,-1.516911620621282
2511.8864315095793,-1.5143411601777763,-38.891943343498085,-61.40307984897929,179.60634963784779,-1.5143411601777763
2818.382931264455,-1.5019037781414024,-38.82958175682501,-60.125285164910224,179.39922029958677,-1.5019037781414024
3162.277660168379,-1.4909979681732588,-38.39100780343986,-61.58557231523493,179.17889912115203,-1.4909979681732588
3548.133892335753,-1.4870564061911404,-38.620769231991,-61.080871919113314,178.88574133784508,-1.4870564061911404
3981.0717055349733,-1.477650837062752,-38.231911865108856,-59.642124211100466,178.62949760791628,-1.477650837062752
4466.83592150963,-1.4710440219376903,-37.900758019312704,-62.449736798531184,178.32593436977092,-1.4710440219376903
5011.872336272725,-1.473823787185472,-38.3036650351545,-59.083420234376554,178.01606892781825,-1.473823787185472
5623.413251903491,-1.4555636961557705,-37.83776450856921,-57.83370387905565,177.68893329270963,-1.4555636961557705
6309.57344480193,-1.4519384472798436,-38.08066849628566,-59.14871205282878,177.3155283253737,-1.4519384472798436
7079.45784384138,-1.4559702749600747,-38.04384035806563,-58.74727591566037,176.874743804588,-1.4559702749600747
7943.282347242814,-1.4485257395050268,-38.0804524876075,-58.09317346307421,176.4160634726067,-1.4485257395050268
8912.509381337459,-1.4351930827357342,-38.17397441165862,-58.55553914564762,175.93652351705094,-1.4351930827357342
10000,-1.4263607270954537,-37.15698680600117,-57.30248392651892,175.37301597454294,-1.4263607270954537
11220.18454301963,-1.4269011386522557,-37.58917795039554,-58.385462708623415,174.72347096995375,-1.4269011386522557
12589.254117941675,-1.4205596870408237,-37.54446004686202,-55.27111423023485,174.07297650679445,-1.4205596870408237
14125.37544622754,-1.4297141646000977,-37.80533082674485,-58.90332780813226,173.30426552145434,-1.4297141646000977
15848.931924611143,-1.4232834879012657,-37.14246350960577,-57.17220349429972,172.48165474944034,-1.4232834879012657
17782.79410038923,-1.412257566012998,-37.301776513768544,-54.62326902108614,171.50694001525608,-1.412257566012998
19952.62314968879,-1.4143198499871235,-37.01670495086829,-57.81261618990902,170.4170196384243,-1.4143198499871235
22387.2113856834,-1.420912053523017,-36.89688687088049,-58.682251372285066,169.24571523566237,-1.420912053523017
25118.864315095794,-1.4136656080547463,-37.68027921528408,-56.97799255358465,167.9090841925277,-1.4136656080547463
28183.82931264455,-1.4176956399989236,-37.02103259526639,-55.7603652036925,166.4671269655655,-1.4176956399989236
31622.776601683796,-1.4298298734569772,-36.67995116563645,-52.898295013311895,164.76419737581222,-1.4298298734569772
35481.33892335753,-1.4301309382006995,-37.06754952584491,-60.141992497696364,162.91077313731017,-1.4301309382006995
39810.717055349734,-1.4404120497315998,-36.35336859126653,-54.106841674760716,160.7573438521621,-1.4404120497315998
44668.3592150963,-1.4285994941694589,-36.643174572979255,-55.27000845663171,158.39159561008287,-1.4285994941694589
50118.72336272724,-1.4516357571388827,-35.72231708240486,-57.0702000713206,155.72390410224267,-1.4516357571388827
56234.13251903491,-1.4748054965219717,-36.08748505011734,-54.1197086284311,152.80283717058563,-1.4748054965219717
63095.734448019306,-1.5005612346032928,-36.26381949284379,-56.196305474944374,149.4792659926359,-1.5005612346032928
70794.5784384138,-1.53536470355668,-35.94876471212683,-59.59887740284791,145.64179264216105,-1.53536470355668
79432.82347242814,-1.6059627340713625,-34.91268300305742,-56.946139244249636,141.39687174655435,-1.6059627340713625
89125.0938133746,-1.689650032141763,-35.09577397622227,-58.87894134054831,136.6056919570911,-1.689650032141763
100000,-1.7753602356632705,-34.92062632487505,-56.59133178154115,131.17569323246732,-1.7753602356632705
