#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 13:44:02.558
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-8.801098345212683,-6.780427293911324,-12.543351545847859,213.20027841231035,-8.801098345212683
11.22018454301963,-8.004239764255306,-7.6109308918239815,-13.37407092266407,211.05872270762978,-8.004239764255306
12.589254117941675,-7.24909133057526,-8.543915988274964,-14.306801928464413,208.78871011206408,-7.24909133057526
14.12537544622754,-6.541476518314958,-9.58989453519305,-15.353125355008448,206.43684322624887,-6.541476518314958
15.848931924611142,-5.890574072619778,-10.747191909416616,-16.510525727831855,204.05655713827454,-5.890574072619778
17.78279410038923,-5.300892368720165,-12.027630122009326,-17.79170324193808,201.70426332192153,-5.300892368720165
19.952623149688787,-4.778929075032977,-13.403477841456644,-19.1664641283468,199.44264000045297,-4.778929075032977
22.3872113856834,-4.327208505277017,-14.864737338012777,-20.62839708968877,197.35596614937387,-4.327208505277017
25.118864315095795,-3.943886234943512,-16.387810562265507,-22.149895626191807,195.44933558146695,-3.943886234943512
28.18382931264455,-3.6223603906488173,-17.925271400632862,-23.68716971821766,193.75307541901196,-3.6223603906488173
31.622776601683793,-3.3558243393033664,-19.535891957657118,-25.297172467262627,192.24828919987905,-3.3558243393033664
35.481338923357534,-3.135971154486227,-21.132520605680636,-26.894959621315767,190.94119101299526,-3.135971154486227
39.810717055349734,-2.953123376940636,-22.72913787759557,-28.492232771924183,189.8314600233224,-2.953123376940636
44.6683592150963,-2.7995185513070564,-24.320270645107904,-30.081850445190863,188.87975199590215,-2.7995185513070564
50.11872336272725,-2.6687468451825236,-25.932557872614424,-31.697858283431604,188.06285485059166,-2.6687468451825236
56.23413251903491,-2.5557683188387577,-27.59497047593363,-33.36060994579524,187.3545253416049,-2.5557683188387577
63.0957344480193,-2.4579845785371504,-29.198931269946968,-34.966828104744025,186.74274321605628,-2.4579845785371504
