#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 13:45:08.256
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 61.0158 V
#Offset: -0.00262571 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-12.92306223161092,-1.1359846524222725,-6.906479213205325,228.9237336977454,-12.92306223161092
11.22018454301963,-11.98525566828284,-1.5949438851921158,-7.36369463640259,227.25745543003876,-11.98525566828284
12.589254117941675,-11.059514282127578,-2.1004028561102843,-7.867299937247369,225.29691918926073,-11.059514282127578
14.12537544622754,-10.151817024976115,-2.6691451769114023,-8.435115676593295,223.0884315090454,-10.151817024976115
15.848931924611142,-9.257354655253957,-3.298397550595198,-9.062940879327556,220.64602194213646,-9.257354655253957
17.78279410038923,-8.39018828808385,-4.002630912413548,-9.766818157147052,218.01738570320487,-8.39018828808385
19.952623149688787,-7.54804336274934,-4.788377557236952,-10.552033631584498,215.19290842670597,-7.54804336274934
22.3872113856834,-6.737892717120667,-5.671335231715805,-11.435175138498606,212.2387633812061,-6.737892717120667
25.118864315095795,-5.972632481263654,-6.671835740719977,-12.435907996608721,209.17389198596453,-5.972632481263654
28.18382931264455,-5.256725415218371,-7.798225497065214,-13.561778310555766,206.06723986786432,-5.256725415218371
31.622776601683793,-4.605397219430635,-9.060973697253452,-14.824639971674756,202.9655417010502,-4.605397219430635
35.481338923357534,-4.025788915564058,-10.482723994182411,-16.246127504156586,199.94371223183225,-4.025788915564058
39.810717055349734,-3.5303815241867698,-12.068506017411142,-17.83243619581419,197.06602187699912,-3.5303815241867698
44.6683592150963,-3.1211105246292545,-13.81928134728998,-19.581548795128086,194.4133399375678,-3.1211105246292545
50.11872336272725,-2.7975240579888454,-15.74479379437842,-21.508260802642365,192.04779433031752,-2.7975240579888454
56.23413251903491,-2.5521652540988797,-17.843288482729374,-23.605310606131486,190.01332505695845,-2.5521652540988797
63.0957344480193,-2.3708351068610485,-20.09204420615696,-25.856652636263462,188.3237825806773,-2.3708351068610485
70.79457843841381,-2.237886631035935,-22.39849153254631,-28.162548217395397,186.9682534974461,-2.237886631035935
79.43282347242813,-2.1417740518373467,-24.714881534472998,-30.480636600498812,185.89484496934364,-2.1417740518373467
89.12509381337459,-2.068062313759947,-26.94611214291715,-32.71838784066673,185.05202659782364,-2.068062313759947
