#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 14:38:20.944
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-14.462176863717858,-18.09744719703113,-23.94807655932165,231.5296095018497,-14.462176863717858
11.22018454301963,-13.58582598825825,-18.324011448834085,-24.209078630737572,230.6600975012457,-13.58582598825825
12.589254117941675,-12.756642244045187,-18.71915769400076,-24.57715587216358,229.56542954937265,-12.756642244045187
14.12537544622754,-11.953366796545637,-19.264517646963387,-25.11652985654355,228.32536341580456,-11.953366796545637
15.848931924611142,-11.179269744662744,-19.899592254138398,-25.74847424747654,226.85150771058147,-11.179269744662744
17.78279410038923,-10.439170408648275,-20.57244537873657,-26.406649176285452,225.28249793406525,-10.439170408648275
19.952623149688787,-9.737492822230367,-21.16818605398091,-27.018926077949324,223.53127719618178,-9.737492822230367
22.3872113856834,-9.078728948544573,-22.119676786928814,-27.972931315708447,221.68441564906334,-9.078728948544573
25.118864315095795,-8.465323842792337,-22.85951929312707,-28.731194509998,219.7455688042968,-8.465323842792337
28.18382931264455,-7.876888692720778,-23.674900705501027,-29.557909969191606,217.7599228022969,-7.876888692720778
31.622776601683793,-7.330981406350632,-24.477445267797503,-30.370297471882736,215.74248976924332,-7.330981406350632
35.481338923357534,-6.826065992652381,-25.28293273703859,-31.18999538213973,213.71882895036435,-6.826065992652381
39.810717055349734,-6.360687912996159,-26.067758107162543,-31.987053360067907,211.68462289274285,-6.360687912996159
44.6683592150963,-5.934276976142811,-26.87856088919867,-32.82150384755812,209.69357452810758,-5.934276976142811
50.11872336272725,-5.551172085424599,-27.694776778420053,-33.622723333009795,207.74793143002103,-5.551172085424599
56.23413251903491,-5.210139110423687,-28.46190077189243,-34.422871436055445,205.87247583403354,-5.210139110423687
