#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 14:39:24.887
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-10.767047053439466,-6.83991101975574,-12.603293952476488,221.05988023080548,-10.767047053439466
11.22018454301963,-9.949902283353397,-7.606678117327078,-13.370066172275163,219.25666999117868,-9.949902283353397
12.589254117941675,-9.170772216083598,-8.459862370026912,-14.224079655983049,217.22945840993103,-9.170772216083598
14.12537544622754,-8.435843896742497,-9.414911735423724,-15.177828881932648,215.03138677937426,-8.435843896742497
15.848931924611142,-7.748374033775695,-10.477974100403163,-16.242338235212376,212.70310755272203,-7.748374033775695
17.78279410038923,-7.115829499218336,-11.645639786819089,-17.4085783600963,210.31642613838204,-7.115829499218336
19.952623149688787,-6.543117219847766,-12.914185335977717,-18.67799465771718,207.92652867955232,-6.543117219847766
22.3872113856834,-6.034301700910656,-14.253133475918618,-20.017146158990755,205.6007239536747,-6.034301700910656
25.118864315095795,-5.589153668187253,-15.662888423623091,-21.425536964811634,203.3788618978312,-5.589153668187253
28.18382931264455,-5.2044088938305775,-17.094171591797945,-22.857332115365715,201.31978524668997,-5.2044088938305775
31.622776601683793,-4.8755789511058145,-18.554652551368587,-24.319703606325575,199.43616000238748,-4.8755789511058145
35.481338923357534,-4.595715310183815,-19.98271882481007,-25.747108137198857,197.74133478774655,-4.595715310183815
39.810717055349734,-4.358124659186696,-21.41745718806323,-27.1817973605486,196.19312549917723,-4.358124659186696
44.6683592150963,-4.154196841192977,-22.814396986738615,-28.580266963145075,194.8379709246311,-4.154196841192977
50.11872336272725,-3.979747119164636,-24.23000128273808,-29.994468576995104,193.62012374389172,-3.979747119164636
56.23413251903491,-3.827980409757376,-25.584272767838204,-31.35094548703654,192.54583747415313,-3.827980409757376
63.0957344480193,-3.695973774235992,-26.895666281038846,-32.65665620232835,191.5736530464403,-3.695973774235992
70.79457843841381,-3.5803524208021065,-28.261699144251224,-34.027707680860445,190.7056023772654,-3.5803524208021065
79.43282347242813,-3.4774341799002935,-29.602959672556647,-35.36979918080308,189.9298627346747,-3.4774341799002935
89.12509381337459,-3.384701501151964,-31.01258582201758,-36.78134272398124,189.2129760665093,-3.384701501151964
100,-3.300237898755434,-32.3268732163461,-38.09236194376731,188.56490690420637,-3.300237898755434
112.2018454301963,-3.225039482906319,-33.69984290385497,-39.47706787475647,187.9656968648723,-3.225039482906319
125.89254117941675,-3.1566770724093334,-35.097923897692745,-40.864142882014974,187.40973005760617,-3.1566770724093334
141.2537544622754,-3.093689665780353,-36.52234812343152,-42.29106940695693,186.89243084278962,-3.093689665780353
158.48931924611142,-3.0353746481556367,-37.858436458548894,-43.63723978537216,186.4104543577182,-3.0353746481556367
177.82794100389228,-2.982232963624904,-39.22967885214198,-45.00180627836534,185.95640264430284,-2.982232963624904
199.5262314968879,-2.934569741834949,-40.531260345014,-46.331765301371355,185.52149043956098,-2.934569741834949
223.87211385683398,-2.889970111722345,-41.78481540635054,-47.59968355282776,185.10787412191198,-2.889970111722345
251.18864315095794,-2.849420755230383,-43.07529399868375,-48.891608876839584,184.71232282213893,-2.849420755230383
281.8382931264455,-2.813005211339164,-44.346437821773534,-50.16825199350261,184.3261086764665,-2.813005211339164
316.22776601683796,-2.779600376240534,-45.406101378245076,-51.25691544742423,183.9583235476174,-2.779600376240534
354.8133892335753,-2.750531967239665,-46.30876758579669,-52.2300560389282,183.5988257009687,-2.750531967239665
398.1071705534973,-2.72437371186397,-47.3830505157388,-53.30772157238351,183.24993717368778,-2.72437371186397
446.683592150963,-2.701198122178965,-48.178393684701405,-54.15345283220974,182.91010300829885,-2.701198122178965
501.18723362727246,-2.6804834693272723,-49.031889686019106,-55.060706501665386,182.5794501449546,-2.6804834693272723
562.3413251903492,-2.6611402416858,-49.81345250593215,-55.914205558194176,182.2614046638305,-2.6611402416858
630.957344480193,-2.6444018951265056,-50.58933268345366,-56.72812827646161,181.94834286589497,-2.6444018951265056
707.945784384138,-2.629727661111666,-51.04374677434065,-57.24555281794596,181.63912239551146,-2.629727661111666
794.3282347242814,-2.6162614591186424,-51.591835432656254,-57.9512038705392,181.3341826207742,-2.6162614591186424
891.2509381337459,-2.6044128014597483,-52.24389677388851,-58.73296047384517,181.02756223482828,-2.6044128014597483
1000,-2.5939334488213484,-52.531115826031474,-59.22894532877845,180.72379913393334,-2.5939334488213484
