#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 14:40:28.871
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 61.0158 V
#Offset: -0.00262571 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-15.218928140449048,0.4273276748413743,-5.349321053365617,234.94622837388522,-15.218928140449048
11.22018454301963,-14.266065578847641,0.03344153270954908,-5.7405501203190905,233.81087494233645,-14.266065578847641
12.589254117941675,-13.323467329136019,-0.4115354586403962,-6.182117104521888,232.37917147024942,-13.323467329136019
14.12537544622754,-12.391017488921356,-0.8959652551820663,-6.664726484974622,230.68788519378688,-12.391017488921356
15.848931924611142,-11.466670072594859,-1.4435178454850202,-7.209960226316379,228.72162723539668,-11.466670072594859
17.78279410038923,-10.559842920277699,-2.0612417711719755,-7.8255770276836,226.4819760837971,-10.559842920277699
19.952623149688787,-9.671650697487395,-2.767973522924569,-8.531895570630454,223.9778795502507,-9.671650697487395
22.3872113856834,-8.804443435998987,-3.565132464920774,-9.328850612624752,221.22864764894973,-8.804443435998987
25.118864315095795,-7.969352489231378,-4.485446109120593,-10.24948919439036,218.24755438026253,-7.969352489231378
28.18382931264455,-7.170738462383474,-5.547746712698846,-11.310948732142645,215.04159010512657,-7.170738462383474
31.622776601683793,-6.41671319083851,-6.787088577950771,-12.550613374142511,211.6751833492836,-6.41671319083851
35.481338923357534,-5.72582881785897,-8.234001794689304,-13.997185880509006,208.1922945591682,-5.72582881785897
39.810717055349734,-5.113088408989857,-9.916719366300041,-15.680343655428084,204.67513428433165,-5.113088408989857
44.6683592150963,-4.591269353766487,-11.816071754562428,-17.579675847848538,201.25747137367736,-4.591269353766487
50.11872336272725,-4.170970238245459,-13.894610683351164,-19.65846025076506,198.09372267896435,-4.170970238245459
56.23413251903491,-3.846553741027191,-16.09719960054741,-21.860469884904315,195.29189489209773,-3.846553741027191
63.0957344480193,-3.604173074748383,-18.356951526909484,-24.121295568546106,192.93172910880466,-3.604173074748383
70.79457843841381,-3.424515972508636,-20.604205109323587,-26.369359478011493,190.9909007946688,-3.424515972508636
79.43282347242813,-3.2897003967008294,-22.82715908285489,-28.59196388285785,189.42445078679594,-3.2897003967008294
89.12509381337459,-3.187477324451462,-24.979619120629792,-30.751614155612337,188.15864510443163,-3.187477324451462
100,-3.107024227816657,-27.024238893095237,-32.79189838846236,187.14622148050867,-3.107024227816657
112.2018454301963,-3.043930822940416,-28.938479820523703,-34.71429126540849,186.32746888077702,-3.043930822940416
125.89254117941675,-2.991226574122604,-30.7774583182578,-36.55925387567753,185.63789101519902,-2.991226574122604
141.2537544622754,-2.9468747739130015,-32.52923053713068,-38.332201870705056,185.07456419538553,-2.9468747739130015
158.48931924611142,-2.9076568065909036,-34.16548992234861,-39.98369855744116,184.57978674542602,-2.9076568065909036
177.82794100389228,-2.873639568775925,-35.791472866070116,-41.641075552457956,184.1531200098448,-2.873639568775925
199.5262314968879,-2.8419691677380903,-37.384262782597666,-43.24425061012545,183.77344763836248,-2.8419691677380903
223.87211385683398,-2.8145521320414812,-39.0089991559109,-44.93538410850957,183.4401626412425,-2.8145521320414812
251.18864315095794,-2.787812470860368,-40.60813051798511,-46.62640670010851,183.13741860678272,-2.787812470860368
281.8382931264455,-2.7636195577565226,-41.951467580644334,-48.045382437204466,182.86299131810034,-2.7636195577565226
316.22776601683796,-2.740327862731867,-43.401210751542926,-49.74825088110251,182.60276585378455,-2.740327862731867
354.8133892335753,-2.718413918425244,-44.71947159738902,-51.19696349215995,182.35758027256207,-2.718413918425244
398.1071705534973,-2.6977050801034634,-46.08430561459293,-52.98333951106382,182.1127312019373,-2.6977050801034634
446.683592150963,-2.6792473776739474,-47.24425428132628,-54.63927773813167,181.8909425225012,-2.6792473776739474
501.18723362727246,-2.6604357811686303,-47.99106691023351,-55.83236101521656,181.65966493147153,-2.6604357811686303
562.3413251903492,-2.643958356054268,-48.78683789376335,-57.39868995978359,181.4323446278397,-2.643958356054268
630.957344480193,-2.6285084023947753,-48.9278820986246,-58.02236444737488,181.2019452050177,-2.6285084023947753
707.945784384138,-2.613698730081408,-49.15880498738092,-58.99605467611879,180.97239758710805,-2.613698730081408
794.3282347242814,-2.599689414344437,-49.44224580426624,-60.098967032562484,180.72390901998756,-2.599689414344437
891.2509381337459,-2.58507483762757,-49.716443026086914,-61.72385639804857,180.48693033086835,-2.58507483762757
1000,-2.574253652991624,-49.62804115500879,-61.33717670193401,180.23882307091222,-2.574253652991624
1122.018454301963,-2.560967188488923,-49.259335901903476,-61.297669630162886,179.96193049091235,-2.560967188488923
1258.9254117941675,-2.550162102816866,-49.226021203649836,-62.33326059235183,179.6946642269046,-2.550162102816866
1412.537544622754,-2.538871622789989,-48.940312185800856,-61.938668524102276,179.40155282311358,-2.538871622789989
1584.893192461114,-2.5273887837437634,-49.091282023561874,-62.80839927771971,179.09333259096843,-2.5273887837437634
1778.2794100389228,-2.515418750689503,-48.27528489695087,-60.817167240084615,178.76464289800822,-2.515418750689503
1995.2623149688789,-2.503655063530497,-48.44547728679398,-62.52230631569343,178.41048823534976,-2.503655063530497
2238.72113856834,-2.4907311401077235,-48.27860284610946,-62.05024801175675,178.0342387737765,-2.4907311401077235
2511.8864315095793,-2.47771087968049,-48.33179323208367,-62.534065971093256,177.62107940408671,-2.47771087968049
2818.382931264455,-2.465160974575402,-48.31427922123537,-63.23142249947519,177.18120560238134,-2.465160974575402
3162.277660168379,-2.452323598079444,-47.89296634474033,-61.742284178080936,176.69047311381797,-2.452323598079444
3548.133892335753,-2.437762315536734,-47.90449483749131,-62.805496459393105,176.1467675042082,-2.437762315536734
3981.0717055349733,-2.4263027488600946,-47.72362597569429,-62.455896201185865,175.57391313740789,-2.4263027488600946
4466.83592150963,-2.4148952007875804,-47.76371459118849,-63.60852331564479,174.93685979031488,-2.4148952007875804
5011.872336272725,-2.4071784865038373,-47.72167325492155,-62.951861852174346,174.2374736199484,-2.4071784865038373
5623.413251903491,-2.402072994674703,-47.91394799711902,-62.1470377384982,173.4695375249344,-2.402072994674703
6309.57344480193,-2.403454014527478,-47.52498222160992,-63.4706433362131,172.62776154635418,-2.403454014527478
7079.45784384138,-2.4217916435823303,-47.01834635105382,-63.6456715484689,171.68238391584276,-2.4217916435823303
7943.282347242814,-2.4314869074009025,-46.823936238212845,-62.64734064961546,170.6572338694409,-2.4314869074009025
8912.509381337459,-2.440026574079574,-47.20238600055155,-63.797360885636316,169.50799640694083,-2.440026574079574
10000,-2.4664275432135203,-46.799056883755156,-62.67329953359375,168.24867390735767,-2.4664275432135203
11220.18454301963,-2.501968601322182,-46.553726223969605,-62.376962965681166,166.85593263543078,-2.501968601322182
12589.254117941675,-2.5478543169851156,-46.56184176540509,-63.96619216384845,165.310009862837,-2.5478543169851156
14125.37544622754,-2.602803492004023,-46.04804244553384,-64.57604654132996,163.61789293097712,-2.602803492004023
15848.931924611143,-2.669924821998282,-46.352553886482895,-64.5458428064864,161.72162977359233,-2.669924821998282
17782.79410038923,-2.730939246192298,-46.14600923725237,-62.85008862421633,159.64449595410974,-2.730939246192298
19952.62314968879,-2.811549899377585,-46.28450254667629,-63.917423845867944,157.38238450136845,-2.811549899377585
22387.2113856834,-2.905315673776507,-45.91071078199477,-66.65481796399816,154.88442418005525,-2.905315673776507
25118.864315095794,-3.015710173705454,-45.65831929374647,-65.42688064823733,152.14206598009054,-3.015710173705454
28183.82931264455,-3.144483584281325,-45.10634320321098,-61.97181339488659,149.20453494814564,-3.144483584281325
31622.776601683796,-3.28812580383255,-45.03360652376984,-65.38382272697565,145.9788722076574,-3.28812580383255
35481.33892335753,-3.4511915013516807,-44.74278903747215,-62.817006416163714,142.49416234228897,-3.4511915013516807
39810.717055349734,-3.6397470223167474,-44.235493043969,-65.48847228662648,138.7846635492644,-3.6397470223167474
44668.3592150963,-3.8423795556448197,-43.97156894495492,-64.70504015091565,134.8125511410919,-3.8423795556448197
50118.72336272724,-4.079031124309745,-43.410620478101265,-62.869827816216784,130.58931266895132,-4.079031124309745
56234.13251903491,-4.328239362516413,-42.951338490645234,-64.60107667743799,126.1085010876626,-4.328239362516413
63095.734448019306,-4.600747977588314,-42.97249292217587,-63.96195090350436,121.37547581052533,-4.600747977588314
70794.5784384138,-4.896384340018397,-41.982800756990045,-59.20812928683428,116.40573601510054,-4.896384340018397
79432.82347242814,-5.205952317071494,-41.38544869471228,-64.19500642280269,111.19937152209948,-5.205952317071494
89125.0938133746,-5.520234967629865,-40.840982862481106,-59.099023143058105,105.8707617504016,-5.520234967629865
100000,-5.806705856702785,-39.87796344587592,-62.60442251001896,100.27996174105736,-5.806705856702785
