#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 14:35:04.954
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-2.996756627894364,-44.62545004553767,-55.10090355483281,173.56863409865528,-2.996756627894364
11.22018454301963,-2.979713567124337,-44.67889046988886,-57.01421596514473,174.32567456843532,-2.979713567124337
12.589254117941675,-2.9681414397829715,-44.765267031151154,-57.90842475356399,174.99753570848563,-2.9681414397829715
14.12537544622754,-2.9560702725887844,-44.90859359638898,-58.62966578475287,175.60121597505875,-2.9560702725887844
15.848931924611142,-2.9454372837507186,-44.59099114350498,-58.37986194035112,176.1085543592762,-2.9454372837507186
17.78279410038923,-2.937349875112034,-44.59354700626587,-59.02421817800811,176.5793664851696,-2.937349875112034
19.952623149688787,-2.9295536495730365,-44.34955108982905,-58.491974733809684,176.99148494676658,-2.9295536495730365
22.3872113856834,-2.9224697717125774,-44.37148708295772,-61.076169575892855,177.36789089620538,-2.9224697717125774
25.118864315095795,-2.9151253459119166,-44.48924473204667,-60.72591116693942,177.67442629933456,-2.9151253459119166
28.18382931264455,-2.9088562054711655,-44.189996839177674,-59.56008660838676,177.95897475548074,-2.9088562054711655
31.622776601683793,-2.9025271517950575,-44.11757159059953,-60.80351141099115,178.2004028441551,-2.9025271517950575
35.481338923357534,-2.8988582453549014,-44.02381203697776,-59.96190181983863,178.4203126337826,-2.8988582453549014
39.810717055349734,-2.8941995490825514,-43.88130057931234,-59.411906151949985,178.61451443246716,-2.8941995490825514
44.6683592150963,-2.8930259206748765,-43.796442786869605,-59.23292123502541,178.7639589593236,-2.8930259206748765
50.11872336272725,-2.8872872779734697,-43.860110920603994,-59.83085978301334,178.92909325495782,-2.8872872779734697
56.23413251903491,-2.886255949463617,-43.65480085781265,-58.689389807202744,179.0327750746216,-2.886255949463617
63.0957344480193,-2.8816606796456856,-43.384373399602694,-58.73734828233864,179.15223843020092,-2.8816606796456856
