#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 14:36:08.796
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-2.9747999120819895,-28.89893381456784,-34.66115315565397,174.21339576465155,-2.9747999120819895
11.22018454301963,-2.9598236105281677,-32.62952989956084,-38.39418322898454,174.36523340332496,-2.9598236105281677
12.589254117941675,-2.9516767381062126,-35.88013229181386,-41.6465843731271,174.69108040687516,-2.9516767381062126
14.12537544622754,-2.9447637362434076,-38.79638584175686,-44.57786165133061,175.0940298420144,-2.9447637362434076
15.848931924611142,-2.9394470545240345,-41.54878441985824,-47.348430194909255,175.51928271761005,-2.9394470545240345
17.78279410038923,-2.9342090545427446,-43.99741457864293,-49.80124210192571,175.946912503353,-2.9342090545427446
19.952623149688787,-2.928963107312751,-46.524460237416065,-52.35716883012998,176.35668895443104,-2.928963107312751
22.3872113856834,-2.9235864865761947,-48.427786610753714,-54.411083774837905,176.74490338085417,-2.9235864865761947
25.118864315095795,-2.918931186967473,-50.809738239761614,-56.75989256923608,177.09831529044794,-2.918931186967473
28.18382931264455,-2.913829357823537,-52.28031439972704,-58.3320406572112,177.42815248782375,-2.913829357823537
31.622776601683793,-2.9089358396446325,-53.982065232057096,-60.234202534547194,177.72310799495665,-2.9089358396446325
35.481338923357534,-2.904839194126007,-56.11378064005318,-62.62940053597685,177.98300714351893,-2.904839194126007
39.810717055349734,-2.901084300814876,-57.39066598402984,-64.26909956054197,178.21980199911872,-2.901084300814876
44.6683592150963,-2.896893067368485,-58.797731115426785,-66.29510301116098,178.42992480450735,-2.896893067368485
50.11872336272725,-2.893405657672737,-59.542458978847215,-67.36936545360675,178.6181072594255,-2.893405657672737
56.23413251903491,-2.8906197730506293,-60.267499841375965,-68.5503444535681,178.78235825447032,-2.8906197730506293
63.0957344480193,-2.8875075678269333,-60.12810639389684,-69.54254478600502,178.92933521685964,-2.8875075678269333
70.79457843841381,-2.8847701111644346,-61.1529221220922,-70.5431936296817,179.05573272863276,-2.8847701111644346
79.43282347242813,-2.8823546181066355,-61.28956348589156,-70.87597752328803,179.16814332232244,-2.8823546181066355
89.12509381337459,-2.8800889712438678,-61.50033777792739,-72.06772341946677,179.2666640689958,-2.8800889712438678
100,-2.877864497516214,-61.65916200312579,-72.43009975903433,179.35209633475554,-2.877864497516214
112.2018454301963,-2.8760833329437436,-59.504259858769544,-72.71379774910906,179.42840200447256,-2.8760833329437436
125.89254117941675,-2.874269182522022,-61.57274932263172,-73.5490550905894,179.49293095764335,-2.874269182522022
141.2537544622754,-2.8730187445166426,-61.77986255036149,-73.50210428095426,179.54911796264503,-2.8730187445166426
158.48931924611142,-2.8714300596586013,-61.30687317194525,-73.46325855759522,179.5987838754126,-2.8714300596586013
177.82794100389228,-2.8700346479031396,-61.63273050006503,-73.16273178824858,179.63959563689232,-2.8700346479031396
199.5262314968879,-2.8689588973577136,-61.220454824481784,-72.80150279259423,179.67405363066928,-2.8689588973577136
223.87211385683398,-2.867744632889714,-61.53945048966699,-74.15078511691158,179.70593074855157,-2.867744632889714
251.18864315095794,-2.866504747119717,-61.38523795359986,-74.21401140357065,179.72795404203805,-2.866504747119717
281.8382931264455,-2.8652954570920395,-61.03543980928105,-73.83025671280633,179.74890971073228,-2.8652954570920395
316.22776601683796,-2.8641984366387825,-60.986980321900084,-75.3007433127817,179.76270837768354,-2.8641984366387825
354.8133892335753,-2.8636032898234784,-60.74538976905124,-73.07086758101711,179.7731645942766,-2.8636032898234784
398.1071705534973,-2.8629387049568016,-60.590753827910966,-73.51752446473232,179.77962075440234,-2.8629387049568016
446.683592150963,-2.8618234792993946,-60.66737024828345,-74.26039793541479,179.78546674566172,-2.8618234792993946
501.18723362727246,-2.860736008110087,-60.77443174996561,-74.96394456453635,179.78250473666105,-2.860736008110087
562.3413251903492,-2.8602561421416226,-59.96475296463818,-73.63992125573522,179.7774227942669,-2.8602561421416226
630.957344480193,-2.8587884551240563,-60.081356651710834,-73.91005251985943,179.76963394242176,-2.8587884551240563
707.945784384138,-2.858219193216727,-59.62795867193668,-72.4823541536013,179.75599688546197,-2.858219193216727
794.3282347242814,-2.8571056322745085,-59.862058249741146,-75.18905020382982,179.7367362128419,-2.8571056322745085
891.2509381337459,-2.8562488572849523,-59.03916427937135,-73.29478411408085,179.71826004586,-2.8562488572849523
1000,-2.85494058454728,-58.77285982465578,-74.20850061345794,179.69202650919365,-2.85494058454728
1122.018454301963,-2.8544960763167087,-58.78803499984893,-74.65004125420387,179.6620819947756,-2.8544960763167087
1258.9254117941675,-2.8530696562594695,-58.639840980281946,-73.12185927608837,179.6283017543749,-2.8530696562594695
1412.537544622754,-2.851841904167946,-57.20714642559581,-73.46794493151592,179.5838201751592,-2.851841904167946
1584.893192461114,-2.8515393744219586,-58.042480348279206,-73.62030268124752,179.5380308695653,-2.8515393744219586
1778.2794100389228,-2.8508100131972003,-57.9017779867532,-73.81160699278402,179.48460114824462,-2.8508100131972003
1995.2623149688789,-2.8482705938916992,-57.719501032656126,-75.75098177202442,179.42265676422085,-2.8482705938916992
2238.72113856834,-2.8476532195710473,-57.330384497254194,-74.2965438246993,179.35415113827756,-2.8476532195710473
2511.8864315095793,-2.845969826283855,-57.39719443720797,-74.86394529310198,179.27286936104403,-2.845969826283855
2818.382931264455,-2.8453294412602443,-57.08779654052928,-73.06514693384665,179.1896891811622,-2.8453294412602443
3162.277660168379,-2.8423033906788935,-56.955193001489405,-73.03522465685342,179.09133491611104,-2.8423033906788935
3548.133892335753,-2.8402880134290336,-57.00616175142574,-75.07976691846383,178.9836092361773,-2.8402880134290336
3981.0717055349733,-2.8388753550245216,-56.56038533048406,-72.51409663472006,178.85867161353855,-2.8388753550245216
4466.83592150963,-2.8361388723076475,-56.31450258174894,-71.68597790965762,178.72227512194536,-2.8361388723076475
5011.872336272725,-2.8343487905787375,-56.059350620957105,-73.25619697590747,178.5792950989361,-2.8343487905787375
5623.413251903491,-2.8312700024181674,-56.08846080354117,-73.01136376474193,178.4058357016462,-2.8312700024181674
6309.57344480193,-2.8287589556026624,-56.72517542994765,-73.3518337758914,178.2254067393885,-2.8287589556026624
7079.45784384138,-2.83834321786662,-55.92524208828046,-74.25939180548836,178.01307482646848,-2.83834321786662
7943.282347242814,-2.834132745209286,-56.356099543285595,-74.93656221681009,177.77908046787195,-2.834132745209286
8912.509381337459,-2.819421727088172,-56.13850646436043,-72.16635830188174,177.52177834171877,-2.819421727088172
10000,-2.816728136969175,-55.67028495532313,-72.60936475259597,177.2283172506047,-2.816728136969175
11220.18454301963,-2.8137588857594404,-55.882993489642736,-73.79910900519886,176.90112081607117,-2.8137588857594404
12589.254117941675,-2.811876740647539,-56.105160089564315,-74.1590597519143,176.53633598508154,-2.811876740647539
14125.37544622754,-2.814562887984952,-55.86536291778447,-71.82877641475858,176.12017790256886,-2.814562887984952
15848.931924611143,-2.8170219805414476,-55.437336520745205,-70.9408765289841,175.65563287614518,-2.8170219805414476
