#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 14:37:12.780
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 61.0158 V
#Offset: -0.00262571 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,-8.705732028496545,2.212794055638391,-3.9207781385062868,208.298082935669,-8.705732028496545
11.22018454301963,-7.804465715885586,1.4263044319841078,-4.684353509363224,205.76786082614797,-7.804465715885586
12.589254117941675,-6.9226500507946485,0.5209922098827958,-5.567433162169549,202.90051160605185,-6.9226500507946485
14.12537544622754,-6.065377189255324,-0.5529645653613847,-6.6172921559071955,199.70099457322362,-6.065377189255324
15.848931924611142,-5.238438131771859,-1.8918401544339534,-7.931681621630183,196.1584244048704,-5.238438131771859
17.78279410038923,-4.458750124812728,-3.675538509463591,-9.691446096882824,192.22702750122414,-4.458750124812728
19.952623149688787,-3.748609929462127,-6.367039333213368,-12.351646826089603,187.8372984089324,-3.748609929462127
22.3872113856834,-3.166028443579261,-11.795708740977851,-17.711805198954576,182.87832266040584,-3.166028443579261
25.118864315095795,-2.9234547171945264,-27.101194908490534,-32.8953046186214,178.67195799189543,-2.9234547171945264
28.18382931264455,-2.911330044247022,-35.70041405505452,-41.50588541664986,178.12290097230363,-2.911330044247022
31.622776601683793,-2.907972679909393,-40.30239910697084,-46.25705053473682,178.09725708621215,-2.907972679909393
35.481338923357534,-2.9062801673639433,-43.762046243698116,-49.93338808185034,178.1814924270413,-2.9062801673639433
39.810717055349734,-2.9049855451900832,-46.681142403185454,-53.240473352057776,178.30768125141026,-2.9049855451900832
44.6683592150963,-2.9025624269850785,-48.38603138622765,-55.424469902716424,178.4544246878498,-2.9025624269850785
50.11872336272725,-2.9003891428265387,-50.45405443831018,-58.47474350040712,178.5989338761671,-2.9003891428265387
56.23413251903491,-2.897551877814288,-51.69417456101037,-60.803791905888346,178.74124277966115,-2.897551877814288
63.0957344480193,-2.896611082632755,-52.66557204591028,-63.555479957311036,178.87048317293667,-2.896611082632755
70.79457843841381,-2.8933615954476606,-53.080380946288855,-64.31596965329919,178.9949411956029,-2.8933615954476606
79.43282347242813,-2.8901892095801966,-53.205900418174814,-65.63740107701118,179.1079303222275,-2.8901892095801966
89.12509381337459,-2.88827096136076,-53.68229548578207,-68.49796084884947,179.20226901549523,-2.88827096136076
100,-2.8865271143512397,-53.76655915206702,-70.21589091453255,179.28847640413514,-2.8865271143512397
112.2018454301963,-2.8847614822736483,-53.11206502632083,-70.69698831267705,179.36869270149396,-2.8847614822736483
125.89254117941675,-2.883453062025617,-53.47381858733682,-71.76775123282626,179.44567323763525,-2.883453062025617
141.2537544622754,-2.881155090953247,-53.26480250557219,-72.07181224732199,179.50368825492583,-2.881155090953247
158.48931924611142,-2.87954554891507,-53.44687002382437,-72.50399746666083,179.55277191381737,-2.87954554891507
177.82794100389228,-2.878644306786477,-53.4471196920033,-71.18537074153355,179.59735076900296,-2.878644306786477
199.5262314968879,-2.8774298594436196,-53.07377761607839,-73.3116619345695,179.64262399502735,-2.8774298594436196
223.87211385683398,-2.8756978203102292,-53.223382080700866,-72.36621798565962,179.670042559667,-2.8756978203102292
251.18864315095794,-2.875026818708801,-52.98755759562696,-71.26501351332382,179.70105338993616,-2.875026818708801
281.8382931264455,-2.872493850902015,-52.59360499220533,-70.25432820187025,179.72518905228776,-2.872493850902015
316.22776601683796,-2.871768348033472,-52.34447664695108,-70.80343780545645,179.73727826981602,-2.871768348033472
354.8133892335753,-2.8706119609710354,-51.95336194435246,-71.66449962970047,179.74827365279742,-2.8706119609710354
398.1071705534973,-2.869452831534426,-51.60143402429196,-68.95854440882349,179.757552911489,-2.869452831534426
446.683592150963,-2.86757613817918,-51.61137563368493,-70.78328091187784,179.75587359450472,-2.86757613817918
501.18723362727246,-2.867403710640069,-51.8145243109675,-70.55889817857961,179.75508444960695,-2.867403710640069
562.3413251903492,-2.864829948527305,-51.268446835517175,-69.97769246399747,179.74493943465416,-2.864829948527305
630.957344480193,-2.8631142803422485,-51.13325391603943,-69.76938714005647,179.7472171427077,-2.8631142803422485
707.945784384138,-2.860807621455357,-51.06036787346965,-69.43937304358792,179.72221719859,-2.860807621455357
794.3282347242814,-2.8592485251083466,-50.52691513150868,-70.40715365303866,179.70374746768874,-2.8592485251083466
891.2509381337459,-2.855720849930312,-50.66423393493629,-68.67564509440443,179.68304729517186,-2.855720849930312
1000,-2.8532148925641665,-50.10070046096455,-70.59663635230001,179.65041716139763,-2.8532148925641665
1122.018454301963,-2.8492256020635693,-49.826625244411325,-68.90615607380599,179.61525580472374,-2.8492256020635693
1258.9254117941675,-2.8447402590658566,-49.99642169673748,-71.5653464196361,179.57985114348023,-2.8447402590658566
1412.537544622754,-2.8406022068744416,-49.36476417346558,-69.76261024503616,179.5423494639323,-2.8406022068744416
1584.893192461114,-2.8337127762376166,-49.3483740840906,-70.64638909243035,179.50190691890595,-2.8337127762376166
1778.2794100389228,-2.8266078167865727,-49.15504605735787,-71.06671308567952,179.42546591159808,-2.8266078167865727
1995.2623149688789,-2.819085394010174,-48.77617612470269,-69.66324754888129,179.36619286492004,-2.819085394010174
2238.72113856834,-2.8100350394197267,-48.67225637351296,-68.78923502478091,179.28318518484036,-2.8100350394197267
2511.8864315095793,-2.7989956921190675,-48.43678948154726,-71.97487526548,179.2063804959185,-2.7989956921190675
2818.382931264455,-2.786483016663666,-48.45144345222303,-68.75664977942698,179.10375416163026,-2.786483016663666
3162.277660168379,-2.7738507046685914,-48.314197609263445,-69.94283343361387,178.99689723173117,-2.7738507046685914
3548.133892335753,-2.759764713950771,-48.006572913384744,-68.44047173596903,178.88994618747978,-2.759764713950771
3981.0717055349733,-2.745258367617533,-47.91979267909512,-68.24840322051749,178.758488063278,-2.745258367617533
4466.83592150963,-2.7294447884474584,-47.568987152236836,-68.50782749966784,178.62943681789497,-2.7294447884474584
5011.872336272725,-2.7169578420426186,-47.76730748995921,-68.93283719238954,178.4604573276882,-2.7169578420426186
5623.413251903491,-2.7048393584176105,-47.24721213526785,-70.0680189385698,178.29806708696555,-2.7048393584176105
6309.57344480193,-2.695487766195723,-47.34246044187568,-66.05836261623908,178.10141466738034,-2.695487766195723
7079.45784384138,-2.7024535277688786,-47.167659128534964,-64.08351269846128,177.89863741332505,-2.7024535277688786
7943.282347242814,-2.698903438217015,-47.46615839046157,-66.03647633376133,177.6539927365278,-2.698903438217015
8912.509381337459,-2.688042159737842,-46.92374476367349,-65.9323628654241,177.40704793997634,-2.688042159737842
10000,-2.691811727296356,-47.106090185675384,-66.2063275665289,177.1130079935129,-2.691811727296356
11220.18454301963,-2.698923906027775,-46.82914075760788,-65.68616083929177,176.79799403634402,-2.698923906027775
12589.254117941675,-2.7070087120177657,-46.432998214047636,-66.2784780999231,176.4381161361875,-2.7070087120177657
14125.37544622754,-2.7199742784197936,-46.44914889440403,-65.42001356349435,176.02626884310158,-2.7199742784197936
15848.931924611143,-2.7342921261533792,-46.660886534123364,-67.55696703194305,175.56378139293793,-2.7342921261533792
17782.79410038923,-2.732681505937013,-46.259949010102794,-61.89828900380124,175.05332070995428,-2.732681505937013
19952.62314968879,-2.7387289449962227,-46.119997741856544,-66.04639043564538,174.4753002445317,-2.7387289449962227
22387.2113856834,-2.7466140635594827,-46.17438098370631,-65.22780992443923,173.80335402089366,-2.7466140635594827
25118.864315095794,-2.7508249023933784,-45.821438465448246,-65.95623744639431,173.0790682505568,-2.7508249023933784
28183.82931264455,-2.755292300083125,-45.82608670662935,-64.31474642381554,172.28103287787923,-2.755292300083125
31622.776601683796,-2.757524526685506,-45.83319455857249,-66.4030289130833,171.34795908092403,-2.757524526685506
35481.33892335753,-2.759555552489174,-45.53581155119378,-63.73537598083907,170.3212978967028,-2.759555552489174
39810.717055349734,-2.762886493674865,-45.668323956346995,-66.77517305436491,169.11938160627105,-2.762886493674865
44668.3592150963,-2.7598756080259608,-44.99082589333385,-64.62018357489535,167.79297223414636,-2.7598756080259608
50118.72336272724,-2.7564584577136797,-45.1634893797287,-63.77645295333423,166.32092253887956,-2.7564584577136797
56234.13251903491,-2.7563195067894912,-44.027072745064366,-64.17797579752376,164.63236089747141,-2.7563195067894912
63095.734448019306,-2.75193669604994,-44.826167374856574,-65.81287962827535,162.75397377449517,-2.75193669604994
70794.5784384138,-2.753198414180054,-44.37699092673518,-63.920061565900696,160.62004143600876,-2.753198414180054
79432.82347242814,-2.760653938343693,-43.549751362394176,-64.71865580084953,158.24028819355544,-2.760653938343693
89125.0938133746,-2.7580863699365072,-43.49704904938416,-64.65471143823731,155.5578914919115,-2.7580863699365072
100000,-2.7501646481146986,-43.31507353106029,-68.25698762645186,152.50176869525689,-2.7501646481146986
