#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A7F3E5
#Date Time: 2025-07-04 15:05:11.990
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 81
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55283 V
#Offset: 0.000243159 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 1 Magnitude THD (dB),Channel 1 Phase (deg),Channel 1 Custom One (dB)
10,0.03135181430366201,-47.7925486187669,-65.48813821918739,-9.783904763893396,0.03135181430366201
11.22018454301963,0.03099580894709313,-47.2602155958361,-65.54954914166152,-8.72703162474302,0.03099580894709313
12.589254117941675,0.031238479557986375,-47.4224963640523,-64.86822111018036,-7.799133542867992,0.031238479557986375
14.12537544622754,0.03230195686225268,-47.26244358265228,-65.03406190187688,-6.961223604143621,0.03230195686225268
15.848931924611142,0.03142930147068772,-46.714910240317295,-64.78328109587625,-6.218746505992669,0.03142930147068772
17.78279410038923,0.03129315794086794,-47.09729927982344,-65.24934067014019,-5.547048318228775,0.03129315794086794
19.952623149688787,0.032140011970882995,-46.99185485175796,-65.60549001946357,-4.949416430703707,0.032140011970882995
22.3872113856834,0.031961097766598584,-46.63962966515957,-65.63642064261266,-4.408296661268089,0.031961097766598584
25.118864315095795,0.03197504488339296,-46.54931413517708,-64.71960533106864,-3.9371337858227093,0.03197504488339296
28.18382931264455,0.031078379664647778,-45.941402161651425,-64.84118053430981,-3.5091193371077622,0.031078379664647778
31.622776601683793,0.03265698359380927,-46.087464442647956,-63.63580368837666,-3.128375536343441,0.03265698359380927
35.481338923357534,0.03269228064241489,-46.20677245212025,-65.12603288129017,-2.788919328039583,0.03269228064241489
39.810717055349734,0.031329102663695874,-45.932749457267825,-63.88198316365627,-2.4972064738357886,0.031329102663695874
44.6683592150963,0.032623440623891414,-46.05268231523523,-64.57741287327852,-2.223462066550354,0.032623440623891414
50.11872336272725,0.030998245458071432,-45.5053120847725,-63.07313655581855,-1.9832044133871989,0.030998245458071432
56.23413251903491,0.031441419774016904,-45.610353945961464,-64.38180633402669,-1.777534965546181,0.031441419774016904
63.0957344480193,0.03173468098191623,-45.46844478796957,-64.68354155233705,-1.5855313255114254,0.03173468098191623
70.79457843841381,0.03170011522934424,-45.48389164534575,-64.11793891426585,-1.4042248599272327,0.03170011522934424
79.43282347242813,0.03147682109399903,-45.443676376006614,-66.26235642666002,-1.247241443530669,0.03147682109399903
89.12509381337459,0.031037303144684263,-44.8878082433552,-64.16748313450861,-1.110171989209988,0.031037303144684263
100,0.03212055181576456,-44.92641922061053,-61.89001429157804,-0.986454292385389,0.03212055181576456
112.2018454301963,0.03176198228625385,-44.858502818461766,-63.206836627884364,-0.8841408925878884,0.03176198228625385
125.89254117941675,0.03141909434701757,-44.52383648972507,-61.1068986097696,-0.7817528778703888,0.03141909434701757
